job_title,skills
python/django developer,"Python, R"
python/django developer - contractor,"Python, R"
python/django developer - intern,"Python, R"
python/django developer contractor,"Python, R"
python/odoo developer,"Python, R"
python/pyspark,"Python, R, Spark"
qa - game tester - contractor,R
qa - game tester contractor,R
"qa analyst, automation test engineer",R
qa analyst/etl tester,R
qa functional tester,R
qa test engineer,R
qa tester,R
qa tester - contractor,R
qa tester contractor,R
qa tester ii - contractor,R
quality control scientist iii- analytical development,Excel
r&d sr data scientist,"AWS, Spark"
radar data analyst,"Excel, Python"
rakuten mobile,R
react front end developer,R
react js front end developer,R
react native and python developer - intern,"Python, R"
reactjs/redux front-end developer,R
research and development engineer software,R
research computer scientist - research engineer - sr. computer scientist - software development,"AWS, Excel, Python"
research scientist,"AWS, Excel"
research scientist or senior research scientist - computer vision,"AWS, Excel"
research scientist – security and privacy,Python
"research scientist, immunology - cancer biology",Excel
"research scientist, machine learning department",Python
research software development engineer - intern,R
revenue analytics manager,Excel
"risk and analytics it, data scientist",Python
salesforce analytics consultant,Python
sap database administrator,R
scientist,"AWS, Excel"
scientist - analytical services,Excel
"scientist 2, qc viral vector",Excel
"scientist i/ii, biology",Excel
"scientist – cancer discovery, molecular assay",Excel
"scientist, bacteriology",Excel
"scientist, immuno-oncology",AWS
sde-1 backend developer,R
sde-2 front end,R
sde2 - python,Python
sde2(android),R
selenium automation test engineer,R
semi senior ios developer,R
sen ios developer,R
senior analyst (ios/iphone),R
senior analyst backend developer,R
senior android applications developer,R
senior android developer,R
senior android developer and team lead,R
senior android developer contractor,R
senior android engineer,R
senior android software developer,R
senior applications database administrator,R
senior associate - java developer,R
senior automation test engineer,R
senior backend developer,R
senior backend engineer,R
senior backend software engineer,R
senior clinical database programmer,R
senior core java developer,R
senior data & machine learning scientist,"AWS, Python"
senior data analyst,"Excel, Python"
senior data engineer,"AWS, Excel, Python, Spark"
senior data scientist,"AWS, Excel, Python, Spark"
senior data scientist - algorithms,Python
senior data scientist - r&d oncology,Python
senior data scientist / machine learning,Excel
senior data scientist oncology,"Excel, Python"
senior database administrator,R
senior database administrator (database administrator),R
senior database administrator (dba),R
senior database administrator - contractor,R
senior database administrator contractor,R
senior database analyst,R
senior database architect,R
senior database developer,R
senior database developer contractor,R
senior database engineer,R
senior database programmer,R
senior db2 database administrator,R
senior dba,R
senior developer - front end,R
senior developer mobile solutions,R
senior developer mobile solutions l2,R
"senior developer, software development engineer ii",R
senior engineer - android,R
senior engineer - software development,R
"senior engineer, data management engineering","AWS, Python, Spark"
senior formulations scientist ii,Excel
senior front end developer,R
senior front end developer & solution architect,R
senior front end developer - contractor,R
senior front end engineer,R
senior front-end developer,R
senior front-end engineer,R
senior front-end web developer,R
senior hybrid mobile app developer,R
senior insurance data scientist,"Excel, Python"
senior ios app developer,R
senior ios architect,R
senior ios developer,R
senior ios developer - contractor,R
senior ios developer - intern,R
senior ios developer and tech lead,R
senior ios developer contractor,R
"senior ios developer, mobile app developer",R
senior ios engineer,R
senior java backend developer,R
senior java develoiper,R
senior java developer,R
senior java developer - contractor,R
senior java developer - intern,R
senior java developer contractor,R
senior java developer/lead,R
senior java programmer,R
senior java software engineer,R
senior java/j2ee developer,R
senior lead software development engineer,R
senior lidar data scientist,"AWS, Python"
senior machine learning (ml) engineer / data scientist - cyber security analytics,"Python, Spark"
senior manager software development engineering,R
"senior manager, epidemiologic data scientist","AWS, Excel"
"senior manager, rakuten mobile",R
senior mobile applications developer,R
senior mobile developer,R
senior mobile engineer,R
senior mobile engineer - contractor,R
senior mobile product manager,R
senior ms sql db administrator,R
senior mysql database administrator,R
"senior operations data analyst, call center operations",Excel
senior oracle applications database administrator,R
senior oracle database administrator,R
senior oracle database administrator - contractor,R
senior oracle database administrator contractor,R
senior oracle-dba,R
senior postgresql database administrator,R
senior project lead - software development engineer,R
senior python developer,"Python, R"
senior python developer - contractor,"Python, R"
senior python developer/software engineer,"Python, R"
senior python engineer,"Python, R"
senior python programmer,"Python, R"
senior qa tester,R
senior qa tester - contractor,R
senior quantitative analyst,"Excel, Python"
senior research scientist - embedded system development for devops,"Excel, Python"
senior scientist (neuroscience),"Excel, Python"
senior scientist - biostatistician,Excel
senior scientist - neuroscience,"Excel, Python"
senior scientist - regulatory submissions,Excel
senior scientist - toxicologist - product integrity (stewardship),Excel
senior software development engineer,R
senior software development engineer (senior sde),R
senior software development engineer - contractor,R
senior software development engineer - intern,R
senior software development engineer at microsoft,R
senior software development engineer contractor,R
senior software development engineer i,R
senior software development engineer ii,R
senior software development engineer iii,R
senior software development engineer in test,R
senior software development engineer in test (sdet),R
senior software development engineer in test - intern,R
senior software development engineer in test contractor,R
senior software development engineer in test lead,R
senior software development engineer lead,R
senior software development engineer test,R
senior software development test engineer ii,R
senior software engineer (android/mobility),R
senior software engineer (development lead),R
senior software engineer (ios),R
senior software engineer (java),R
senior software engineer - android,R
senior software engineer - front end,R
senior software engineer - front end developer,R
senior software engineer - ios,R
senior software engineer - java,R
senior software engineer - java developer,R
senior software engineer - java developer - contractor,R
senior software engineer - online development,R
senior software engineer - product development,R
senior software engineer - test automation,R
senior software engineer - testing,R
senior software engineer with hsbc software development india pvt ltd,R
"senior software engineer, android",R
"senior software engineer, product development",R
senior software engineer- ios developer,R
senior software engineer-game development,R
senior software java developer,R
senior software test engineer,R
senior software testing engineer,R
senior spark engineer (data science),"AWS, Python, Spark"
senior sql server database administrator,R
senior staff software development engineer,R
senior test analyst,R
senior test automation engineer,R
senior test engineer,R
senior test engineer - contractor,R
senior test engineer - software development engineer in test,R
senior test lead,R
senior testing engineer,R
senior testing executive,R
senior web and mobile applications developer,R
"senior, android developer",R
smts software development engineer,R
software & android developer,R
software backend developer,R
software backend engineer,R
software design engineer ii - software development engineer ii,R
software developer (android),R
software developer (android) - intern,R
software developer (backend engineer),R
software developer (backend node js),R
software developer (backend),R
software developer (ios developer),R
software developer (java developer),R
software developer - android,R
software developer - android developer,R
software developer - python(fresher),"Python, R"
"software developer, front end",R
software development associate engineer,R
software development associate engineer i,R
software development engineer,R
software development engineer (sde iii),R
software development engineer (sde),R
software development engineer (sde) (backend),R
software development engineer (sde) - contractor,R
software development engineer (sde) - intern,R
software development engineer (sde) contractor,R
software development engineer (sde) i,R
software development engineer (sde) ii,R
software development engineer (sde) ii - contractor,R
software development engineer (sde) ii - intern,R
software development engineer (sde) iii,R
software development engineer (sde1),R
software development engineer (sde1) - intern,R
software development engineer (test automation research lab),R
software development engineer (test),R
software development engineer - contractor,R
software development engineer - i,R
software development engineer - ii,R
software development engineer - ii (ios),R
software development engineer - iii,R
software development engineer - intern,R
software development engineer - java specialist,R
software development engineer - mcafee,R
software development engineer - process automation,R
software development engineer - web,R
software development engineer -1,R
software development engineer -2,R
software development engineer -3,R
software development engineer contractor,R
software development engineer development lead,R
software development engineer for oyo,R
software development engineer i,R
software development engineer i - contractor,R
software development engineer i - intern,R
software development engineer i - qa,R
software development engineer i contractor,R
software development engineer ii,R
software development engineer ii - intern,R
software development engineer ii in test,R
software development engineer iii,R
software development engineer iii (sdeiii),R
software development engineer in test,R
software development engineer in test (sdet),R
software development engineer in test (sdet) - contractor,R
software development engineer in test (sdet) - intern,R
software development engineer in test (sdet) contractor,R
software development engineer in test (sdet) i,R
software development engineer in test (sdet) i - intern,R
software development engineer in test (sdet) ii,R
software development engineer in test (sdet) ii - contractor,R
software development engineer in test (sdet) iii,R
software development engineer in test (sdet) v,R
software development engineer in test - contractor,R
software development engineer in test - intern,R
software development engineer in test contractor,R
software development engineer in test engineer and selenium automation engineer,R
software development engineer in test functional,R
software development engineer in test i,R
software development engineer in test ii,R
software development engineer in test iii,R
software development engineer in test lead,R
software development engineer in test lead - contractor,R
software development engineer in test level ii,R
software development engineer in test level iii,R
"software development engineer in test, ii",R
software development engineer in testing,R
software development engineer in testing - contractor,R
software development engineer in testing - intern,R
software development engineer in3,R
software development engineer iv,R
software development engineer microsoft,R
software development engineer staff,R
software development engineer trainee,R
software development engineer trainee i,R
software development engineer(ii months) - intern,R
software development engineer(sde),R
software development engineer(sde) - intern,R
"software development engineer, associate",R
"software development engineer, test - intern",R
