job_title,avg_salary_yearly_mean,avg_salary_yearly_median,avg_salary_yearly_min,avg_salary_yearly_max,count_records,avg_salary_monthly_mean,avg_rating,skills
android development - intern,216000.0,156000.0,36000.0,500000.0,18,18000.0,3.79,R
python engineer,652888.89,576000.0,200000.0,1300000.0,18,54407.41,4.21,"Python, R"
software engineer - front end,1078222.22,1300000.0,204000.0,2000000.0,18,89851.85,4.01,R
python developer - contractor,655555.56,600000.0,300000.0,1200000.0,18,54629.63,4.21,"Python, R"
ios app developer,414666.67,400000.0,204000.0,700000.0,18,34555.56,3.67,R
sql server database administrator - contractor,1412500.0,500000.0,300000.0,7300000.0,16,117708.33,4.06,R
junior java developer contractor,288000.0,264000.0,132000.0,444000.0,16,24000.0,3.75,R
python full stack developer,465000.0,484000.0,168000.0,800000.0,16,38750.0,4.05,"Python, R"
python/django developer - intern,220500.0,114000.0,48000.0,960000.0,16,18375.0,3.88,"Python, R"
senior ios engineer,1350000.0,1150000.0,400000.0,2400000.0,16,112500.0,4.0,R
lead database administrator,1775000.0,1800000.0,100000.0,3200000.0,16,147916.67,3.76,R
senior db2 database administrator,1077500.0,1000000.0,720000.0,1700000.0,16,89791.67,3.9,R
senior android applications developer,1254500.0,1200000.0,336000.0,2300000.0,16,104541.67,3.84,R
entry level java developer,392500.0,400000.0,180000.0,500000.0,16,32708.33,3.81,R
junior java developer - contractor,412500.0,350000.0,200000.0,700000.0,16,34375.0,3.96,R
software development engineer(sde) - intern,607500.0,594000.0,288000.0,972000.0,16,50625.0,4.04,R
senior sql server database administrator,1425000.0,1400000.0,700000.0,2300000.0,16,118750.0,3.9,R
software engineer-product development,475000.0,500000.0,100000.0,800000.0,16,39583.33,3.86,R
data analyst,66300.0,66000.0,47500.0,92500.0,15,5525.0,3.56,"AWS, Excel, Python, R, Spark"
lead java developer,994857.14,800000.0,100000.0,2200000.0,14,82904.76,3.87,R
software development engineer in test i,792571.43,900000.0,100000.0,1400000.0,14,66047.62,3.71,R
backend software engineer,1285714.29,1200000.0,200000.0,2300000.0,14,107142.86,3.79,R
test manager,1142857.14,1200000.0,400000.0,1500000.0,14,95238.1,3.8,R
java developer - contractor,707428.57,600000.0,200000.0,1700000.0,14,58952.38,3.9,R
nodejs backend developer,384000.0,348000.0,264000.0,576000.0,14,32000.0,4.04,R
oracle applications database administrator (database administrator),814285.71,900000.0,200000.0,1300000.0,14,67857.14,3.71,R
db2 database administrator,600000.0,500000.0,300000.0,1000000.0,14,50000.0,3.67,R
technical lead - java,718857.14,700000.0,100000.0,1400000.0,14,59904.76,3.84,
team lead-dba,1557142.86,1700000.0,300000.0,2500000.0,14,129761.9,3.83,
software engineer - ios,728571.43,700000.0,300000.0,1400000.0,14,60714.29,3.89,R
senior data engineer,121928.57,123250.0,97000.0,139000.0,14,10160.71,4.0,"AWS, Excel, Python, Spark"
mysql database administrator,794857.14,500000.0,240000.0,2100000.0,14,66238.1,3.81,R
full stack python developer,540571.43,400000.0,300000.0,1200000.0,14,45047.62,4.07,"Python, R"
sr software development engineer in test,1098285.71,1300000.0,200000.0,1700000.0,14,91523.81,4.09,R
principal software development engineer,2200000.0,2100000.0,400000.0,3700000.0,14,183333.33,4.1,R
senior database developer,1021714.29,1164000.0,696000.0,1300000.0,14,85142.86,3.89,R
oracle database administrator - contractor,585714.29,500000.0,300000.0,900000.0,14,48809.52,3.81,R
java tech lead,963333.33,1050000.0,480000.0,1400000.0,12,80277.78,3.67,
front end - intern,334000.0,222000.0,60000.0,756000.0,12,27833.33,3.98,R
senior database engineer,1090000.0,1100000.0,240000.0,2000000.0,12,90833.33,3.73,R
senior data analyst,83416.67,77500.0,55000.0,138500.0,12,6951.39,3.41,"Excel, Python"
avp-java developer,2250000.0,2050000.0,1700000.0,3000000.0,12,187500.0,3.9,R
automation test engineer,408666.67,350000.0,200000.0,900000.0,12,34055.56,3.85,R
junior python/django developer,193333.33,200000.0,100000.0,288000.0,12,16111.11,3.75,"Python, R"
qa tester,276000.0,250000.0,156000.0,500000.0,12,23000.0,3.93,R
qa test engineer,332666.67,348000.0,100000.0,500000.0,12,27722.22,3.85,R
python developer contractor,466000.0,474000.0,240000.0,696000.0,12,38833.33,4.13,"Python, R"
mssql database administrator,750000.0,650000.0,400000.0,1300000.0,12,62500.0,3.78,R
ms sql server database administrator,528666.67,500000.0,372000.0,800000.0,12,44055.56,3.82,R
engineer - software development,500000.0,450000.0,100000.0,1000000.0,12,41666.67,3.8,R
mobile technician,288000.0,270000.0,204000.0,456000.0,12,24000.0,4.0,
sybase database administrator,1238000.0,1250000.0,300000.0,2200000.0,12,103166.67,4.02,R
java architect,1630666.67,2000000.0,384000.0,2000000.0,12,135888.89,3.73,R
senior front-end developer,1050000.0,1000000.0,600000.0,1900000.0,12,87500.0,3.53,R
front end react developer,700000.0,550000.0,400000.0,1200000.0,12,58333.33,3.84,R
database specialist,1300000.0,1550000.0,500000.0,1600000.0,12,108333.33,3.65,
senior java developer contractor,282656.0,318000.0,12000.0,480000.0,12,23554.67,4.02,R
backend,612000.0,338000.0,156000.0,2100000.0,12,51000.0,3.88,
software development engineer in test ii,1833333.33,2200000.0,200000.0,2900000.0,12,152777.78,3.87,R
lead front end developer,2266666.67,2250000.0,1600000.0,2900000.0,12,188888.89,4.25,R
senior java developer/lead,1256000.0,1350000.0,636000.0,1800000.0,12,104666.67,3.73,R
microsoft software development engineer,1820666.67,1190000.0,144000.0,4300000.0,12,151722.22,4.12,R
senior android developer contractor,544876.8,624000.0,120384.0,996000.0,10,45406.4,4.14,R
ios applications developer - intern,332800.0,144000.0,60000.0,1100000.0,10,27733.33,4.22,R
java applications developer,596000.0,500000.0,180000.0,1300000.0,10,49666.67,3.66,R
database engineer,1220000.0,1200000.0,500000.0,2400000.0,10,101666.67,4.08,R
java developer contractor,350400.0,336000.0,264000.0,456000.0,10,29200.0,3.9,R
senior database administrator (database administrator),1760000.0,1400000.0,900000.0,3800000.0,10,146666.67,3.98,R
oracle database developer,500000.0,600000.0,300000.0,600000.0,10,41666.67,3.52,R
mobile app developer - intern,284000.0,96000.0,60000.0,1000000.0,10,23666.67,3.9,R
database administrator - contractor,620000.0,600000.0,200000.0,1100000.0,10,51666.67,3.84,R
senior test analyst,540000.0,500000.0,200000.0,800000.0,10,45000.0,3.72,R
software developer - python(fresher),396000.0,348000.0,288000.0,648000.0,10,33000.0,3.94,"Python, R"
software developer (backend),1620000.0,1300000.0,800000.0,3200000.0,10,135000.0,4.24,R
lead oracle database administrator,1660000.0,1400000.0,1000000.0,2500000.0,10,138333.33,4.08,R
java devlopers,368800.0,300000.0,144000.0,800000.0,10,30733.33,4.02,R
database administrator (database administrator) oracle,1348000.0,1500000.0,500000.0,2000000.0,10,112333.33,3.94,R
java lead developer,700000.0,500000.0,100000.0,1600000.0,10,58333.33,4.06,R
senior test automation engineer,400000.0,400000.0,100000.0,600000.0,10,33333.33,3.78,R
senior software development engineer test,1500000.0,1300000.0,500000.0,3200000.0,10,125000.0,4.02,R
senior software engineer - product development,720000.0,700000.0,100000.0,1700000.0,10,60000.0,3.82,R
database administrator (dba),837600.0,700000.0,288000.0,1400000.0,10,69800.0,3.64,R
java fullstack developer,920000.0,1000000.0,400000.0,1300000.0,10,76666.67,3.9,R
senior mobile developer,2324800.0,1600000.0,324000.0,6400000.0,10,193733.33,4.16,R
software development engineer in test lead,760000.0,200000.0,100000.0,1700000.0,10,63333.33,4.04,R
android development,347200.0,348000.0,100000.0,600000.0,10,28933.33,3.82,R
software development engineer - i,940000.0,1000000.0,500000.0,1500000.0,10,78333.33,4.04,R
android app developer - intern,290400.0,288000.0,132000.0,588000.0,10,24200.0,4.44,R
junior ios developer - intern,345600.0,180000.0,48000.0,1140000.0,10,28800.0,4.12,R
android applications developer - intern,213600.0,180000.0,60000.0,360000.0,10,17800.0,3.96,R
android,438400.0,276000.0,200000.0,1000000.0,10,36533.33,3.88,R
front-end web developer,248800.0,200000.0,180000.0,348000.0,10,20733.33,4.14,R
front end lead,2100000.0,2400000.0,200000.0,3300000.0,10,175000.0,4.1,R
software engineer development,691200.0,700000.0,600000.0,800000.0,10,57600.0,3.8,R
python programmer - intern,228800.0,120000.0,60000.0,700000.0,10,19066.67,3.76,"Python, R"
python developer fresher,236800.0,240000.0,168000.0,288000.0,10,19733.33,3.92,"Python, R"
python aws developer,516800.0,500000.0,180000.0,1000000.0,10,43066.67,3.8,"AWS, Python, R"
front-end developer - intern,456307.2,60000.0,24000.0,2065536.0,10,38025.6,3.0,R
junior software development engineer,530000.0,400000.0,222000.0,1200000.0,10,44166.67,3.96,R
amazon software development engineer - intern,629000.0,600000.0,516000.0,800000.0,8,52416.67,3.8,"AWS, R"
lead data scientist,161250.0,172000.0,100000.0,184500.0,8,13437.5,3.79,"AWS, Excel, Python, Spark"
python trainer,590704.0,488000.0,240000.0,1146816.0,8,49225.33,4.38,"Python, R"
android architect,1625000.0,1500000.0,300000.0,3200000.0,8,135416.67,3.8,R
peoplesoft database administrator,767000.0,684000.0,300000.0,1400000.0,8,63916.67,3.5,R
senior android developer and team lead,687000.0,650000.0,48000.0,1400000.0,8,57250.0,3.62,R
oracle database administrator contractor,657000.0,594000.0,516000.0,924000.0,8,54750.0,3.72,R
backend executive,223000.0,200000.0,156000.0,336000.0,8,18583.33,3.45,
database manager,1075000.0,1000000.0,400000.0,1900000.0,8,89583.33,3.68,R
sr android developer,792000.0,834000.0,100000.0,1400000.0,8,66000.0,3.22,R
ios developer - contractor,800000.0,500000.0,500000.0,1700000.0,8,66666.67,3.68,R
ios developer contractor,302000.0,248000.0,100000.0,612000.0,8,25166.67,4.28,R
senior database analyst,1144000.0,1150000.0,576000.0,1700000.0,8,95333.33,3.88,R
qa test lead,575000.0,550000.0,400000.0,800000.0,8,47916.67,3.72,
software test engineer - contractor,425000.0,400000.0,200000.0,700000.0,8,35416.67,3.7,R
selenium automation test engineer,400000.0,400000.0,300000.0,500000.0,8,33333.33,3.72,R
python (ai/ml) developer,726000.0,752000.0,400000.0,1000000.0,8,60500.0,3.8,"Python, R"
sql database developer,400000.0,450000.0,100000.0,600000.0,8,33333.33,3.48,R
associate database engineer,700000.0,550000.0,300000.0,1400000.0,8,58333.33,4.03,R
senior java software engineer,1225000.0,1300000.0,600000.0,1700000.0,8,102083.33,4.03,R
android trainee,145000.0,122000.0,96000.0,240000.0,8,12083.33,3.58,R
backend web developer,411000.0,356000.0,132000.0,800000.0,8,34250.0,3.97,R
software development engineer in testing,775000.0,750000.0,600000.0,1000000.0,8,64583.33,3.52,R
senior software development engineer (senior sde),3400000.0,3200000.0,2200000.0,5000000.0,8,283333.33,4.12,R
junior backend developer - intern,237000.0,258000.0,144000.0,288000.0,8,19750.0,3.82,R
java lead,944000.0,850000.0,576000.0,1500000.0,8,78666.67,3.68,
android framework developer,517000.0,484000.0,300000.0,800000.0,8,43083.33,4.0,R
test specialist,250000.0,250000.0,200000.0,300000.0,8,20833.33,4.05,
android technical lead,1521000.0,1700000.0,684000.0,2000000.0,8,126750.0,3.92,R
backend software developer,1372000.0,1394000.0,1000000.0,1700000.0,8,114333.33,4.05,R
core java developer,378000.0,312000.0,180000.0,708000.0,8,31500.0,3.78,R
senior staff software development engineer,1900000.0,2250000.0,400000.0,2700000.0,8,158333.33,3.65,R
java spring boot developer,641000.0,532000.0,300000.0,1200000.0,8,53416.67,3.72,R
sr. mobile applications developer,1298000.0,996000.0,400000.0,2800000.0,8,108166.67,4.22,R
manual tester,353000.0,306000.0,300000.0,500000.0,8,29416.67,3.78,R
software development engineer in test (sdet) i,1275000.0,1150000.0,600000.0,2200000.0,8,106250.0,4.03,R
java consultant,625000.0,700000.0,300000.0,800000.0,8,52083.33,4.1,
database designer,975000.0,550000.0,200000.0,2600000.0,8,81250.0,3.78,R
java senior developer,853000.0,656000.0,600000.0,1500000.0,8,71083.33,3.82,R
backend support executive,201000.0,186000.0,132000.0,300000.0,8,16750.0,4.12,R
senior testing engineer,725000.0,850000.0,300000.0,900000.0,8,60416.67,3.82,R
best buy mobile sales associate,3011000.0,1108000.0,228000.0,9600000.0,8,250916.67,4.2,
java technical lead,1500000.0,1600000.0,900000.0,1900000.0,8,125000.0,3.72,
senior software development engineer lead,1712500.0,1375000.0,100000.0,4000000.0,8,142708.33,4.18,R
front end associate,1450000.0,1500000.0,800000.0,2000000.0,8,120833.33,4.0,R
senior java developer - intern,402000.0,450000.0,108000.0,600000.0,8,33500.0,3.85,R
software development engineer in test (sdet) ii - contractor,1133333.33,1000000.0,300000.0,2100000.0,6,94444.44,3.97,R
manual test engineer,433333.33,400000.0,400000.0,500000.0,6,36111.11,3.87,R
software development engineer in test (sdet) iii,1833333.33,1900000.0,1600000.0,2000000.0,6,152777.78,3.63,R
android lead,1533333.33,1400000.0,1400000.0,1800000.0,6,127777.78,4.07,R
marketing data analyst,48666.67,48500.0,48500.0,49000.0,6,4055.56,3.7,"Excel, Python"
software quality assurance engineer and testers,300000.0,300000.0,200000.0,400000.0,6,25000.0,3.83,R
sr front-end engineer,1368000.0,1500000.0,804000.0,1800000.0,6,114000.0,3.93,R
database administrator contractor,258400.0,264000.0,211200.0,300000.0,6,21533.33,4.17,R
senior manager software development engineering,4233333.33,3700000.0,3500000.0,5500000.0,6,352777.78,4.03,R
java fresher,236000.0,240000.0,168000.0,300000.0,6,19666.67,4.13,R
